t0,t1,variable,flag,comment,URL_graphic
2013-12-31T00:00:00+00:00,2015-07-19T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_dpt_1.png
2010-09-30T00:00:00+00:00,2011-04-19T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_hs_1.png
2011-09-30T00:00:00+00:00,2012-05-01T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_hs_1.png
2013-07-15T00:00:00+00:00,2014-06-01T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_hs_1.png
2014-09-05T00:00:00+00:00,2015-09-01T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_hs_1.png
2016-07-05T00:00:00+00:00,2018-06-01T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/KAN_M_hs_1.png
