t0,t1,variable,flag,comment,URL_graphic
2013-10-28T21:00:00+00:00,2014-08-10T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2011-10-26T05:00:00+00:00,2012-01-08T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2009-04-04T00:00:00+00:00,2009-09-01T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2015-05-03T11:00:00+00:00,2018-01-17T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2014-12-06T20:00:00+00:00,2014-12-23T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2014-12-06T20:00:00+00:00,2014-12-23T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
