t0,t1,variable,flag,comment,URL_graphic
2008-10-15T00:00:00+00:00,2009-02-04T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_U_dpt_1.png
2010-10-19T00:00:00+00:00,2010-10-22T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_U_dpt_1.png
2016-08-10T00:00:00+00:00,2017-05-20T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_U_dpt_1.png
