t0,t1,variable,flag,comment,URL_graphic
2008-07-15T00:00:00+00:00,2008-07-18T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2011-09-17T00:00:00+00:00,2011-11-16T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2012-09-16T00:00:00+00:00,2012-11-05T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2013-02-23T00:00:00+00:00,2013-03-02T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2015-09-07T00:00:00+00:00,2015-09-17T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2016-09-07T00:00:00+00:00,2017-01-17T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
