t0,t1,variable,flag,comment,URL_graphic
2009-10-27T00:00:00+00:00,2009-11-26T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/SCO_U_dpt_1.png
2011-09-07T00:00:00+00:00,2011-09-27T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/SCO_U_dpt_1.png
2008-06-07T00:00:00+00:00,2008-09-11T00:00:00+00:00,SnowHeight(m),CHECKME,manually flagged by bav,
2011-08-25T00:00:00+00:00,2012-08-29T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,
2014-06-29T00:00:00+00:00,2014-10-29T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,
2014-06-29T00:00:00+00:00,2014-10-29T00:00:00+00:00,SurfaceHeight(m),CHECKME,manually flagged by bav,
