t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2007-07-23T00:00:00+00:00,2021-07-23T00:00:00+00:00,SurfaceHeight(m),min_filter,-1.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KPC_U_hs_2.png
2012-07-21T00:00:00+00:00,,SnowHeight(m),add,0.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KPC_U_hs_1.png
2012-07-23T00:00:00+00:00,,SurfaceHeight(m),add,-0.2,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KPC_U_hs_2.png
2019-07-02T00:00:00+00:00,,SnowHeight(m),add,-0.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KPC_U_hs_1.png
2019-07-07T00:00:00+00:00,,SnowHeight(m),add,1.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KPC_U_hs_1.png
