t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2018-08-31T14:00:00+00:00,,SurfaceHeight(m),add,-2.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_M_dpt_1.png
2018-08-31T14:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-5.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_M_dpt_1.png
2019-08-30T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,4.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_M_dpt_1.png
