t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2012-08-12T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-0.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2013-08-02T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-15.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2015-08-02T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-0.32,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/UPE_L_dpt_1.png
2012-08-15T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_2.png
2013-08-03T00:00:00+00:00,,SurfaceHeight(m),add,-1.7,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_2.png
2015-08-03T00:00:00+00:00,,SurfaceHeight(m),add,-3.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_2.png
2016-01-01T00:00:00+00:00,,SurfaceHeight(m),add,1.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_2.png
2017-08-26T00:00:00+00:00,,SurfaceHeight(m),add,-1.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_2.png
2018-08-08T00:00:00+00:00,,SnowHeight(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/UPE_L_hs_1.png
