t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2018-09-02T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-0.3,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_U_dpt_1.png
2019-08-31T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,4.2,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/QAS_U_dpt_1.png
2010-07-19T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_2.png
2011-08-15T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_2.png
2012-08-17T00:00:00+00:00,,SnowHeight(m),add,1.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_1.png
2013-08-18T00:00:00+00:00,,SurfaceHeight(m),add,-0.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_2.png
2015-08-23T00:00:00+00:00,,SnowHeight(m),add,1.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_1.png
2015-08-23T00:00:00+00:00,,SurfaceHeight(m),add,-1.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_2.png
2019-09-02T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/QAS_U_hs_2.png
