t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2017-11-26T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-2.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/TAS_A_dpt_1.png
2019-05-05T00:00:00+00:00,,DepthPressureTransducer_Cor(m),add,-0.28,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/TAS_A_dpt_1.png
2016-08-12T00:00:00+00:00,,SurfaceHeight(m),add,-3.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/TAS_A_hs_2.png
