t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2012-08-27T00:00:00+00:00,,SurfaceHeight(m),add,-0.5,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KAN_U_hs_2.png
2014-07-29T00:00:00+00:00,,SurfaceHeight(m),add,1.2,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KAN_U_hs_2.png
2015-05-05T00:00:00+00:00,,SnowHeight(m),add,1.9,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KAN_U_hs_1.png
2018-08-28T00:00:00+00:00,,SurfaceHeight(m),add,1.0,manually adjusted by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flag-fix/graphics/KAN_U_hs_2.png
